branch_name,month,amount
أبو عريش,1,1018621.51
أبو عريش,2,520340.36
أبو عريش,3,1094059.54
أبو عريش,4,597540.22
أبو عريش,5,735695.43
أبو عريش,6,711888.37
أبو عريش,7,98367.2
الدرب,1,1042084.52
الدرب,2,755433.27
الدرب,3,626092.68
الدرب,4,797143.5
الدرب,5,751191.23
الدرب,6,679869.32
الدرب,7,63224.04
العارضة,1,155664.35
العارضة,2,116821.27
العارضة,3,191394.87
العارضة,4,150701.56
العارضة,5,156095.65
العارضة,6,188249.5
العارضة,7,14456.23
العيدابي,1,326486.13
العيدابي,2,307445.97
العيدابي,3,297186.09
العيدابي,4,378279.6
العيدابي,5,367808.8
العيدابي,6,318745.7
العيدابي,7,44740
بيش,1,579353.53
بيش,2,218541.46
بيش,3,412908.7
بيش,4,275423.18
بيش,5,335404.56
بيش,6,323416.49
بيش,7,35862.58
جازان - الرئيسي,1,3705329.98
جازان - الرئيسي,2,2139889.64
جازان - الرئيسي,3,3067391.82
جازان - الرئيسي,4,1713567.41
جازان - الرئيسي,5,2971178.3
جازان - الرئيسي,6,2179986.46
جازان - الرئيسي,7,376159.47
صامطة واحد المسارحة,1,1243474.61
صامطة واحد المسارحة,2,737624.94
صامطة واحد المسارحة,3,1610151.61
صامطة واحد المسارحة,4,890100.81
صامطة واحد المسارحة,5,1060199.11
صامطة واحد المسارحة,6,949791.4
صامطة واحد المسارحة,7,96393.63
صبيا,1,526073
صبيا,2,606252.03
صبيا,3,633208.74
صبيا,4,431003.98
صبيا,5,657094.74
صبيا,6,710731.13
صبيا,7,94000.29
ضمد,1,307965.02
ضمد,2,192247.37
ضمد,3,247966.47
ضمد,4,186476.75
ضمد,5,258214.79
ضمد,6,230791.94
ضمد,7,31160.82
فرسان,1,277300.84
فرسان,2,143677.78
فرسان,3,320932.26
فرسان,4,132767.28
فرسان,5,163893.34
فرسان,6,144305.66
فرسان,7,18295.71
